seq,frame_id,img_timestamp,recv_timestamp,latency
0,D455_1:rgb,1.67762e+09,1.67762e+09,3.96473
1,D455_1:rgb,1.67762e+09,1.67762e+09,3.98117
2,D455_1:rgb,1.67762e+09,1.67762e+09,3.99754
3,D455_1:rgb,1.67762e+09,1.67762e+09,4.0608
4,D455_1:rgb,1.67762e+09,1.67762e+09,4.07867
5,D455_1:rgb,1.67762e+09,1.67762e+09,4.14166
6,D455_1:rgb,1.67762e+09,1.67762e+09,4.16065
7,D455_1:rgb,1.67762e+09,1.67762e+09,4.176
8,D455_1:rgb,1.67762e+09,1.67762e+09,4.23926
9,D455_1:rgb,1.67762e+09,1.67762e+09,4.25316
10,D455_1:rgb,1.67762e+09,1.67762e+09,4.29857
11,D455_1:rgb,1.67762e+09,1.67762e+09,4.33718
12,D455_1:rgb,1.67762e+09,1.67762e+09,4.35314
13,D455_1:rgb,1.67762e+09,1.67762e+09,4.3949
14,D455_1:rgb,1.67762e+09,1.67762e+09,4.48668
15,D455_1:rgb,1.67762e+09,1.67762e+09,4.47601
16,D455_1:rgb,1.67762e+09,1.67762e+09,4.51691
17,D455_1:rgb,1.67762e+09,1.67762e+09,4.55776
18,D455_1:rgb,1.67762e+09,1.67762e+09,4.5986
19,D455_1:rgb,1.67762e+09,1.67762e+09,4.58957
20,D455_1:rgb,1.67762e+09,1.67762e+09,4.65486
21,D455_1:rgb,1.67762e+09,1.67762e+09,4.6954
22,D455_1:rgb,1.67762e+09,1.67762e+09,4.71067
23,D455_1:rgb,1.67762e+09,1.67762e+09,4.74948
24,D455_1:rgb,1.67762e+09,1.67762e+09,4.79163
25,D455_1:rgb,1.67762e+09,1.67762e+09,4.83187
26,D455_1:rgb,1.67762e+09,1.67762e+09,4.87543
27,D455_1:rgb,1.67762e+09,1.67762e+09,4.91301
28,D455_1:rgb,1.67762e+09,1.67762e+09,4.92774
29,D455_1:rgb,1.67762e+09,1.67762e+09,4.97176
30,D455_1:rgb,1.67762e+09,1.67762e+09,4.98802
31,D455_1:rgb,1.67762e+09,1.67762e+09,5.03225
32,D455_1:rgb,1.67762e+09,1.67762e+09,5.02652
33,D455_1:rgb,1.67762e+09,1.67762e+09,5.0987
34,D455_1:rgb,1.67762e+09,1.67762e+09,5.11653
35,D455_1:rgb,1.67762e+09,1.67762e+09,5.15698
36,D455_1:rgb,1.67762e+09,1.67762e+09,5.17433
37,D455_1:rgb,1.67762e+09,1.67762e+09,5.21591
38,D455_1:rgb,1.67762e+09,1.67762e+09,5.25596
39,D455_1:rgb,1.67762e+09,1.67762e+09,5.29585
40,D455_1:rgb,1.67762e+09,1.67762e+09,5.33743
41,D455_1:rgb,1.67762e+09,1.67762e+09,5.35523
42,D455_1:rgb,1.67762e+09,1.67762e+09,5.37024
43,D455_1:rgb,1.67762e+09,1.67762e+09,5.43549
44,D455_1:rgb,1.67762e+09,1.67762e+09,5.45172
45,D455_1:rgb,1.67762e+09,1.67762e+09,5.49062
46,D455_1:rgb,1.67762e+09,1.67762e+09,5.53364
47,D455_1:rgb,1.67762e+09,1.67762e+09,5.54941
48,D455_1:rgb,1.67762e+09,1.67762e+09,5.58873
49,D455_1:rgb,1.67762e+09,1.67762e+09,5.6035
50,D455_1:rgb,1.67762e+09,1.67762e+09,5.62126
51,D455_1:rgb,1.67762e+09,1.67762e+09,5.65888
52,D455_1:rgb,1.67762e+09,1.67762e+09,5.70304
53,D455_1:rgb,1.67762e+09,1.67762e+09,5.71746
54,D455_1:rgb,1.67762e+09,1.67762e+09,5.75917
55,D455_1:rgb,1.67762e+09,1.67762e+09,5.77526
56,D455_1:rgb,1.67762e+09,1.67762e+09,5.81518
57,D455_1:rgb,1.67762e+09,1.67762e+09,5.85599
58,D455_1:rgb,1.67762e+09,1.67762e+09,5.87231
59,D455_1:rgb,1.67762e+09,1.67762e+09,5.93282
60,D455_1:rgb,1.67762e+09,1.67762e+09,5.95161
61,D455_1:rgb,1.67762e+09,1.67762e+09,5.99393
62,D455_1:rgb,1.67762e+09,1.67762e+09,6.0322
63,D455_1:rgb,1.67762e+09,1.67762e+09,6.05149
64,D455_1:rgb,1.67762e+09,1.67762e+09,6.09234
65,D455_1:rgb,1.67762e+09,1.67762e+09,6.13318
66,D455_1:rgb,1.67762e+09,1.67762e+09,6.17145
67,D455_1:rgb,1.67762e+09,1.67762e+09,6.16466
68,D455_1:rgb,1.67762e+09,1.67762e+09,6.17614
69,D455_1:rgb,1.67762e+09,1.67762e+09,6.27279
70,D455_1:rgb,1.67762e+09,1.67762e+09,6.24246
71,D455_1:rgb,1.67762e+09,1.67762e+09,6.29001
72,D455_1:rgb,1.67762e+09,1.67762e+09,6.33047
73,D455_1:rgb,1.67762e+09,1.67762e+09,6.37471
74,D455_1:rgb,1.67762e+09,1.67762e+09,6.3627
75,D455_1:rgb,1.67762e+09,1.67762e+09,6.4317
76,D455_1:rgb,1.67762e+09,1.67762e+09,6.44742
77,D455_1:rgb,1.67762e+09,1.67762e+09,6.4874
78,D455_1:rgb,1.67762e+09,1.67762e+09,6.55263
79,D455_1:rgb,1.67762e+09,1.67762e+09,6.59305
80,D455_1:rgb,1.67762e+09,1.67762e+09,6.60817
81,D455_1:rgb,1.67762e+09,1.67762e+09,6.67664
82,D455_1:rgb,1.67762e+09,1.67762e+09,6.70896
83,D455_1:rgb,1.67762e+09,1.67762e+09,6.75037
84,D455_1:rgb,1.67762e+09,1.67762e+09,6.76611
85,D455_1:rgb,1.67762e+09,1.67762e+09,6.80605
86,D455_1:rgb,1.67762e+09,1.67762e+09,6.8471
87,D455_1:rgb,1.67762e+09,1.67762e+09,6.86318
88,D455_1:rgb,1.67762e+09,1.67762e+09,6.90403
89,D455_1:rgb,1.67762e+09,1.67762e+09,6.94475
90,D455_1:rgb,1.67762e+09,1.67762e+09,6.93397
91,D455_1:rgb,1.67762e+09,1.67762e+09,7.0012
92,D455_1:rgb,1.67762e+09,1.67762e+09,7.01663
93,D455_1:rgb,1.67762e+09,1.67762e+09,7.03147
94,D455_1:rgb,1.67762e+09,1.67762e+09,7.07296
95,D455_1:rgb,1.67762e+09,1.67762e+09,7.11126
96,D455_1:rgb,1.67762e+09,1.67762e+09,7.15293
97,D455_1:rgb,1.67762e+09,1.67762e+09,7.17002
98,D455_1:rgb,1.67762e+09,1.67762e+09,7.21108
99,D455_1:rgb,1.67762e+09,1.67762e+09,7.25163
100,D455_1:rgb,1.67762e+09,1.67762e+09,7.26494
101,D455_1:rgb,1.67762e+09,1.67762e+09,7.30829
102,D455_1:rgb,1.67762e+09,1.67762e+09,7.34053
103,D455_1:rgb,1.67762e+09,1.67762e+09,7.40564
104,D455_1:rgb,1.67762e+09,1.67762e+09,7.42137
105,D455_1:rgb,1.67762e+09,1.67762e+09,7.46225
106,D455_1:rgb,1.67762e+09,1.67762e+09,7.50534
107,D455_1:rgb,1.67762e+09,1.67762e+09,7.52531
108,D455_1:rgb,1.67762e+09,1.67762e+09,7.58919
109,D455_1:rgb,1.67762e+09,1.67762e+09,7.55832
110,D455_1:rgb,1.67762e+09,1.67762e+09,7.64646
111,D455_1:rgb,1.67762e+09,1.67762e+09,7.66452
112,D455_1:rgb,1.67762e+09,1.67762e+09,7.68075
113,D455_1:rgb,1.67762e+09,1.67762e+09,7.72272
114,D455_1:rgb,1.67762e+09,1.67762e+09,7.73656
115,D455_1:rgb,1.67762e+09,1.67762e+09,7.77859
116,D455_1:rgb,1.67762e+09,1.67762e+09,7.79552
117,D455_1:rgb,1.67762e+09,1.67762e+09,7.80845
118,D455_1:rgb,1.67762e+09,1.67762e+09,7.80119
119,D455_1:rgb,1.67762e+09,1.67762e+09,7.8892
120,D455_1:rgb,1.67762e+09,1.67762e+09,7.88304
121,D455_1:rgb,1.67762e+09,1.67762e+09,7.94731
122,D455_1:rgb,1.67762e+09,1.67762e+09,7.9622
123,D455_1:rgb,1.67762e+09,1.67762e+09,7.98011
124,D455_1:rgb,1.67762e+09,1.67762e+09,8.01911
125,D455_1:rgb,1.67762e+09,1.67762e+09,8.01134
126,D455_1:rgb,1.67762e+09,1.67762e+09,8.07738
127,D455_1:rgb,1.67762e+09,1.67762e+09,8.09286
128,D455_1:rgb,1.67762e+09,1.67762e+09,8.10576
129,D455_1:rgb,1.67762e+09,1.67762e+09,8.14797
130,D455_1:rgb,1.67762e+09,1.67762e+09,8.1638
131,D455_1:rgb,1.67762e+09,1.67762e+09,8.18146
132,D455_1:rgb,1.67762e+09,1.67762e+09,8.2225
133,D455_1:rgb,1.67762e+09,1.67762e+09,8.26267
134,D455_1:rgb,1.67762e+09,1.67762e+09,8.27835
135,D455_1:rgb,1.67762e+09,1.67762e+09,8.34298
136,D455_1:rgb,1.67762e+09,1.67762e+09,8.35988
137,D455_1:rgb,1.67762e+09,1.67762e+09,8.37488
138,D455_1:rgb,1.67762e+09,1.67762e+09,8.39187
139,D455_1:rgb,1.67762e+09,1.67762e+09,8.43152
140,D455_1:rgb,1.67762e+09,1.67762e+09,8.49812
141,D455_1:rgb,1.67762e+09,1.67762e+09,8.48572
142,D455_1:rgb,1.67762e+09,1.67762e+09,8.52693
143,D455_1:rgb,1.67762e+09,1.67762e+09,8.56427
144,D455_1:rgb,1.67762e+09,1.67762e+09,8.56688
145,D455_1:rgb,1.67762e+09,1.67762e+09,8.63425
146,D455_1:rgb,1.67762e+09,1.67762e+09,8.65053
147,D455_1:rgb,1.67762e+09,1.67762e+09,8.66585
148,D455_1:rgb,1.67762e+09,1.67762e+09,8.70517
149,D455_1:rgb,1.67762e+09,1.67762e+09,8.71715
150,D455_1:rgb,1.67762e+09,1.67762e+09,8.78882
151,D455_1:rgb,1.67762e+09,1.67762e+09,8.77865
152,D455_1:rgb,1.67762e+09,1.67762e+09,8.84425
153,D455_1:rgb,1.67762e+09,1.67762e+09,8.88522
154,D455_1:rgb,1.67762e+09,1.67762e+09,8.90158
155,D455_1:rgb,1.67762e+09,1.67762e+09,8.91094
156,D455_1:rgb,1.67762e+09,1.67762e+09,8.95354
157,D455_1:rgb,1.67762e+09,1.67762e+09,8.97504
158,D455_1:rgb,1.67762e+09,1.67762e+09,9.01231
159,D455_1:rgb,1.67762e+09,1.67762e+09,9.03126
160,D455_1:rgb,1.67762e+09,1.67762e+09,9.04632
161,D455_1:rgb,1.67762e+09,1.67762e+09,9.08749
162,D455_1:rgb,1.67762e+09,1.67762e+09,9.10342
163,D455_1:rgb,1.67762e+09,1.67762e+09,9.11385
164,D455_1:rgb,1.67762e+09,1.67762e+09,9.1318
165,D455_1:rgb,1.67762e+09,1.67762e+09,9.17585
166,D455_1:rgb,1.67762e+09,1.67762e+09,9.1909
167,D455_1:rgb,1.67762e+09,1.67762e+09,9.23041
168,D455_1:rgb,1.67762e+09,1.67762e+09,9.24412
169,D455_1:rgb,1.67762e+09,1.67762e+09,9.26223
170,D455_1:rgb,1.67762e+09,1.67762e+09,9.27905
171,D455_1:rgb,1.67762e+09,1.67762e+09,9.29439
172,D455_1:rgb,1.67762e+09,1.67762e+09,9.35909
173,D455_1:rgb,1.67762e+09,1.67762e+09,9.35001
174,D455_1:rgb,1.67762e+09,1.67762e+09,9.36773
175,D455_1:rgb,1.67762e+09,1.67762e+09,9.40535
176,D455_1:rgb,1.67762e+09,1.67762e+09,9.42417
177,D455_1:rgb,1.67762e+09,1.67762e+09,9.46389
178,D455_1:rgb,1.67762e+09,1.67762e+09,9.47919
179,D455_1:rgb,1.67762e+09,1.67762e+09,9.47125
180,D455_1:rgb,1.67762e+09,1.67762e+09,9.51511
181,D455_1:rgb,1.67762e+09,1.67762e+09,9.55896
182,D455_1:rgb,1.67762e+09,1.67762e+09,9.57341
183,D455_1:rgb,1.67762e+09,1.67762e+09,9.56311
184,D455_1:rgb,1.67762e+09,1.67762e+09,9.63296
185,D455_1:rgb,1.67762e+09,1.67762e+09,9.67284
186,D455_1:rgb,1.67762e+09,1.67762e+09,9.66344
187,D455_1:rgb,1.67762e+09,1.67762e+09,9.70431
188,D455_1:rgb,1.67762e+09,1.67762e+09,9.72165
189,D455_1:rgb,1.67762e+09,1.67762e+09,9.7623
190,D455_1:rgb,1.67762e+09,1.67762e+09,9.778
191,D455_1:rgb,1.67762e+09,1.67762e+09,9.79405
192,D455_1:rgb,1.67762e+09,1.67762e+09,9.85974
193,D455_1:rgb,1.67762e+09,1.67762e+09,9.84931
194,D455_1:rgb,1.67762e+09,1.67762e+09,9.89105
195,D455_1:rgb,1.67762e+09,1.67762e+09,9.9039
196,D455_1:rgb,1.67762e+09,1.67762e+09,9.94592
197,D455_1:rgb,1.67762e+09,1.67762e+09,9.96359
198,D455_1:rgb,1.67762e+09,1.67762e+09,9.97811
